"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level"
4522,"LAW-520","Gould School of Law",1,"Introduction to U.S. Legal System","","The basic structure of government in the U.S., including the constitutionally mandated division of power in the federal government and the federal system of power sharing between state and federal systems.  A comparative perspective on selected substantive and procedural matters, such as common law reasoning, jury trials, adversary process, and various aspects of civil procedure.  Open to incoming LL.M. students only.","","LAW",20251,0,2,"SP25","Introduction to U.S. Legal System -  - The basic structure of government in the U.S., including the constitutionally mandated division of power in the federal government and the federal system of power sharing between state and federal systems.  A comparative perspective on selected substantive and procedural matters, such as common law reasoning, jury trials, adversary process, and various aspects of civil procedure.  Open to incoming LL.M. students only.","AY25","SP25","graduate"
4524,"LAW-521","Gould School of Law",1,"Topics in American Law","","This course will provide LL.M. and M.C.L. students with a survey of various topics in American law including criminal law, evidence, family law, constitutional law, torts, wills and trusts, administrative law and property law.  Open to LL.M. and M.C.L. students only.","","LAW",20251,0,2,"SP25","Topics in American Law -  - This course will provide LL.M. and M.C.L. students with a survey of various topics in American law including criminal law, evidence, family law, constitutional law, torts, wills and trusts, administrative law and property law.  Open to LL.M. and M.C.L. students only.","AY25","SP25","graduate"
4526,"LAW-551","Gould School of Law",1,"Intellectual Property Trademark","","Explores U.S. trademark law. Topics include trademark infringement and dilution, trademark selection, clearance, enforcement, federal registration and maintenance, the tension between trademark rights and the First Amendment, trademark licensing and other transactions, trademark fair use and the rig ht of publicity.","","LAW",20251,0,2,"SP25","Intellectual Property Trademark -  - Explores U.S. trademark law. Topics include trademark infringement and dilution, trademark selection, clearance, enforcement, federal registration and maintenance, the tension between trademark rights and the First Amendment, trademark licensing and other transactions, trademark fair use and the rig ht of publicity.","AY25","SP25","graduate"
4528,"LAW-559","Gould School of Law",1,"Human Resource Compliance","","Provides an overview of human resource related law, and various legal issues involved in the employment relationship.","","LAW",20251,0,2,"SP25","Human Resource Compliance -  - Provides an overview of human resource related law, and various legal issues involved in the employment relationship.","AY25","SP25","graduate"
4530,"LAW-567","Gould School of Law",1,"Introduction to Litigation in U.S. Courts","","Provides an overview of the United States legal system for those unfamiliar with common law courts, including the mechanics of the U.S. Court system in both criminal and civil courts, as well as more detailed analysis of torts and intellectual property disputes.","","LAW",20251,0,1,"SP25","Introduction to Litigation in U.S. Courts -  - Provides an overview of the United States legal system for those unfamiliar with common law courts, including the mechanics of the U.S. Court system in both criminal and civil courts, as well as more detailed analysis of torts and intellectual property disputes.","AY25","SP25","graduate"
4531,"LAW-598","Gould School of Law",1,"Regulatory Compliance","","Provides an overview of regulatory compliance law and the ways that various organizations ensure compliance with governing laws and regulations.","","LAW",20251,0,2,"SP25","Regulatory Compliance -  - Provides an overview of regulatory compliance law and the ways that various organizations ensure compliance with governing laws and regulations.","AY25","SP25","graduate"
4533,"LAW-603","Gould School of Law",1,"Business Organizations","","Organization of economic activity especially the modern corporation as institutions of social power. The roles of managers, owners, and regulatory agencies in shaping processes ofdecision making.","","LAW",20251,0,1,"SP25","Business Organizations -  - Organization of economic activity especially the modern corporation as institutions of social power. The roles of managers, owners, and regulatory agencies in shaping processes ofdecision making.","AY25","SP25","graduate"
4534,"LAW-613","Gould School of Law",1,"Corporate Governance","","Examines the purpose, evolution and history of corporate governance standards, priorities and culture of boards, shareholder/stakeholder engagement, and corporate social responsibility, as it relates to law.","","LAW",20251,0,1,"SP25","Corporate Governance -  - Examines the purpose, evolution and history of corporate governance standards, priorities and culture of boards, shareholder/stakeholder engagement, and corporate social responsibility, as it relates to law.","AY25","SP25","graduate"
4535,"LAW-658","Gould School of Law",1,"Mergers and Acquisitions","","Problems of integrating the corporate, securities, tax, business, antitrust, accounting and contractual aspects of corporate mergers and aquisitions.","","LAW",20251,0,2,"SP25","Mergers and Acquisitions -  - Problems of integrating the corporate, securities, tax, business, antitrust, accounting and contractual aspects of corporate mergers and aquisitions.","AY25","SP25","graduate"
4537,"LAW-663","Gould School of Law",1,"Health Care Law, Business and Finance","","Covers health care business fundamentals, financial risk and return, capital budgeting, and long-term financial analysis and planning, as it relates to law.","","LAW",20251,0,1,"SP25","Health Care Law, Business and Finance -  - Covers health care business fundamentals, financial risk and return, capital budgeting, and long-term financial analysis and planning, as it relates to law.","AY25","SP25","graduate"
4538,"LAW-710","Gould School of Law",1,"Contract Drafting and Analysis","","Students present to the class their assessment of assigned contracts, then draft their own contracts, interpret a complex contract, followed by team-based rewrites.","","LAW",20251,0,2,"SP25","Contract Drafting and Analysis -  - Students present to the class their assessment of assigned contracts, then draft their own contracts, interpret a complex contract, followed by team-based rewrites.","AY25","SP25","graduate"
4540,"LAW-826","Gould School of Law",1,"Employment Dispute Mediation","","Provides hands-on experience in mediation of the complex issues of disability, wage and hour, sex and sex harassment, age, race, religion, and national origin.","","LAW",20251,0,1,"SP25","Employment Dispute Mediation -  - Provides hands-on experience in mediation of the complex issues of disability, wage and hour, sex and sex harassment, age, race, religion, and national origin.","AY25","SP25","graduate"
4541,"LAW-510","Gould School of Law",1,"Legal Research","","Examination of the basic sources of law for federal and California jurisdictions, utilizing a vast array of sources from books to computer-assisted research and analyzing research methodology and techniques. Graded CR/D/F.","","LAW",20251,0,1,"SP25","Legal Research -  - Examination of the basic sources of law for federal and California jurisdictions, utilizing a vast array of sources from books to computer-assisted research and analyzing research methodology and techniques. Graded CR/D/F.","AY25","SP25","graduate"
8775,"PHYS-750O","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Off Campus Studies","","Coursework taken on campus at Caltech as part of the Caltech-USC cross-registration program.  Graded CR/NC.","","PHYS",20251,0,1,"SP25","Off Campus Studies -  - Coursework taken on campus at Caltech as part of the Caltech-USC cross-registration program.  Graded CR/NC.","AY25","SP25","graduate"
9000,"HUC-581","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Global Innovation Seminar: Windmueller Israel Seminar","","","","HUC",20251,0,2,"SP25","Global Innovation Seminar: Windmueller Israel Seminar -  - ","AY25","SP25","graduate"
9001,"HUC-542B","Dana and David Dornsife College of Letters, Arts and Sciences",18,"Supervised Fieldwork","","Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","","HUC",20251,0,1,"SP25","Supervised Fieldwork -  - Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","AY25","SP25","graduate"
