"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"21459","PR-426","ANSC","1","4","4","Influencer Relations","C","","Y","18:00:00","21:20:00","T","27","","Kozinets, Robert","ANNL115","27","Media is social. Influencers reign. Influencer Relations provides a practical understanding of the new rules of the industry for students interested in working within it.","PR","20201"
"21463","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Seidenberg, Willa, Ann","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21464","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Suro, Roberto","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21500","JOUR-524","ANSC","1","4","4","Advanced Broadcast Reporting","C","","Y","09:00:00","12:20:00","F","8","","Pierce, Barbara, Hyde","ANN307","8","Reporting, production and writing for broadcast and other video platforms; practical experience; role of the video broadcast journalist; similarities and differences between media.","JOUR","20201"
"21515","JOUR-525","ANSC","1","4","4","Public Radio Documentary","C","","Y","12:30:00","15:50:00","M","8","","Tolan, Sandy, M;Jahad, Shirley","ANN413","8","Advanced production techniques for public radio-style reports: writing, sound, editing, narrative voice. Techniques applicable for broadcast features or Web audio documentaries.","JOUR","20201"
"21531","PR-529","ANSC","1","3","3","Business and Economic Foundations for Public Relations","C","","Y","18:00:00","20:30:00","M","21","","Tenderich, Burghardt","ASC240","21","Speaking the language of the board room; understanding business goals and objectives; economic literacy; financial/investor relations;  understanding organizational disciplines and","PR","20201"
"21532","PR-529","ANSC","1","3","3","Business and Economic Foundations for Public Relations","C","","Y","18:30:00","21:00:00","H","19","","Cherry, Melanie","ANN211","19","Speaking the language of the board room; understanding business goals and objectives; economic literacy; financial/investor relations;  understanding organizational disciplines and","PR","20201"
"21533","PR-529","ANSC","1","3","3","Business and Economic Foundations for Public Relations","C","","Y","18:30:00","21:00:00","H","19","","Stamper, David","ANN305","19","Speaking the language of the board room; understanding business goals and objectives; economic literacy; financial/investor relations;  understanding organizational disciplines and","PR","20201"
"21535","PR-598","ANSC","1","3","3","Graduate Honors Seminar: Improvisational Leadership","C","","Y","18:30:00","21:00:00","T","18","","Cook, Fred, Henry","ASC331","18","Leadership workshop inspires stepping outside of comfort zones to be braver and more creative.  Encourages discovery of leadership potential by exploring new ideas and challenges.","PR","20201"
"21536","JOUR-590","ANSC","1","1","12","Directed Research","C","","Y","","","","0","","Winston, Diane, H","OFFICE","0","Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","JOUR","20201"
"21538","JOUR-494","ANSC","1","2","2","Python Coding for Data Journalism","C","","Y","18:30:00","20:10:00","W","15","","Amihere, Dana, Elizabeth","ANN308","15","Python coding language to gather, parse and analyze data for investigative news reporting.","JOUR","20201"
"21559","PR-561","ANSC","169","4","4","Principles of Public Relations","C","","Y","","","","36","A","Tenderich, Burghardt;Jackson, Laura, Min;Gregorian, Tamar, Grace","ONLINE","36","Practical and theoretical survey of the public relations profession as it is currently practiced, providing a social/contextual backdrop for further study of the field.","PR","20201"
"21576","JOUR-555","ANSC","1","4","4","Advanced Coding for Creative Storytelling","C","","Y","14:30:00","17:50:00","M","16","","Bustamante, Peggy, Lynn","ANN308","16","Focuses on advanced coding techniques for the creation of dynamic, interactive, multimedia and data-driven news stories on the web.","JOUR","20201"
"21592","JOUR-594Z","ANSC","1","0","0","Master's Thesis","C","","Y","","","","6","","Parks, Michael","OFFICE","6","Credit on acceptance of thesis. Graded IP/CR/NC.","JOUR","20201"
"21593","JOUR-594Z","ANSC","1","0","0","Master's Thesis","C","","Y","","","","0","","Anawalt, Sasha, C","OFFICE","0","Credit on acceptance of thesis. Graded IP/CR/NC.","JOUR","20201"
"21594","PR-594Z","ANSC","1","0","0","Master's Thesis","C","","Y","","","","4","","Floto, Jennifer, Dayle","OFFICE","4","Credit on acceptance of thesis.","PR","20201"
"21610","JOUR-597","ANSC","1","4","4","Food Culture Journalism","C","","Y","14:00:00","17:20:00","H","16","","Nguyen, Tien","ANN406","16","Use the food lens to view the world with a special emphasis on Los Angeles, and learn good journalism practices with the aim of publishing.","JOUR","20201"
