"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"38237","JS-320","LAS","001","4.0","4.0","The Sephardic World","C","","Y","15:30","16:50","TH","7","","Rom, Michael;Skinazi, Karen","GFS105",NA,"Sephardic Jews trace their ancestry to medieval Iberia and now comprise a global diaspora. Explore the creation and expansion of the Sephardic diaspora.","","JS","20261"
"38250","JS-381","LASH","001","4.0","4.0","The Jew in American Society","C","","N","15:30","16:50","MW","0","","","",NA,"The changing sociological profile of the American Jew and changing organization of the American Jewish community as they developed over the 19th and 20th centuries.","","JS","20261"
"38260","JS-180","LAS","001","4.0","4.0","Judaism","C","","Y","14:00","15:20","MW","6","","Firestone, Reuven;Skinazi, Karen","LVL13",NA,"Jewish beliefs, practices, and history from the biblical period to the present; Judaic contributions to Western civilization.","","JS","20261"
"38261","JS-258","LASH","001","4.0","4.0","Food, Faith and Conflict","C","","N","14:00","15:20","MW","0","","","",NA,"Investigates how food and food traditions create and cross religious and social conflicts between Jews, Christians and Muslims by exploring faith, practice, thought and ethics.","","JS","20261"
"38263","JS-389","LAS","001","4.0","4.0","Culture and Society in Israel: Inventing the Dream","C","","N","14:00","15:20","TH","0","","","",NA,"Examination of the social forces that shaped and continue to shape culture and society in contemporary Israel.","","JS","20261"
"38264","JS-342","LAS","001","4.0","4.0","Reading in Two Directions: Connecting Law and Literature in Jewish Tradition","C","","N","14:00","15:20","MW","0","","","",NA,"Investigates understandings of law, legal interpretation and the integration of law and narrative in Jewish texts by exploring how to examine legal and literary texts.","","JS","20261"
"38268","JS-315","LAS","001","4.0","4.0","Anti-Semitism, Racism and Other Hatreds","C","","N","09:30","10:50","TH","0","","","",NA,"History and contexts of anti-Semitism, racism and other discourses about difference examined through religious, national and cultural forms in Europe and in the US.","","JS","20261"
"38400","HBIO-202","LAS","001","4.0","4.0","Nutrition for Life","C","Y","Y","14:00","15:20","TH","13","","Soultanakis, Helen (Eleni)","SGM101",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38401","HBIO-202","LAS","001","0.0","0.0","Nutrition for Life","L","Y","Y","09:00","10:50","M","2","","Lopes, Helaine, Owen","PEDB16",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38402","HBIO-202","LAS","001","0.0","0.0","Nutrition for Life","L","Y","Y","11:00","12:50","M","2","","Lopes, Helaine, Owen","PEDB16",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
"38403","HBIO-202","LAS","001","0.0","0.0","Nutrition for Life","L","Y","Y","14:00","15:50","M","3","","Cross, Shannon","PEDB16",NA,"To develop an understanding of Nutrition, especially as it pertains to optimal health and prevention of diseases. A study of macro and micro nutrients.","","HBIO","20261"
